Départementdomicile	moinsd'un	1à4	5à9	10à14	15à19	20à24	25à29	30à34	35à39	40à44	45à49	50à54	55à59	60à64	65à69	70à74	75à79	80à84	85ans	region	moinsd'un.Femme	1à4.Femme	5à9.Femme	10à14.Femme	15à19.Femme	20à24.Femme	25à29.Femme	30à34.Femme	35à39.Femme	40à44.Femme	45à49.Femme	50à54.Femme	55à59.Femme	60à64.Femme	65à69.Femme	70à74.Femme	75à79.Femme	80à84.Femme	85ans.Femme
Hautes-Pyrénées	6	0	1	0	4	5	9	10	16	22	29	50	69	83	79	117	181	225	390	Midi-Pyrénées	3	2	0	0	0	2	4	1	7	10	15	18	35	44	35	65	120	198	702
Tarn	11	0	1	0	5	10	8	7	16	21	33	65	90	98	108	138	287	359	761	Midi-Pyrénées	8	1	0	0	0	4	3	5	7	12	27	44	45	47	65	92	177	330	1151
Tarn-et-Garonne	8	2	0	0	6	5	4	8	10	17	29	42	66	64	64	88	151	188	350	Midi-Pyrénées	4	1	1	1	2	3	2	3	4	9	11	24	27	30	26	66	97	166	623
Corrèze	1	2	0	1	3	5	6	7	10	13	26	60	91	90	96	134	195	268	507	Limousin	1	1	0	0	0	1	1	4	7	7	17	27	29	40	41	79	135	255	880
Creuse	3	0	0	0	7	1	0	2	9	12	23	33	49	83	58	73	148	202	329	Limousin	1	1	0	0	0	1	0	0	3	3	10	16	15	25	31	65	77	143	573
Haute-Vienne	6	5	0	3	3	10	3	8	15	24	42	60	110	145	108	175	296	357	614	Limousin	3	4	1	1	0	1	2	4	6	10	29	33	49	55	64	92	196	347	1149
Ain	7	8	3	0	15	9	16	16	20	47	65	73	133	187	179	198	253	380	606	Rhône-Alpes	11	1	1	3	4	4	3	3	13	17	29	49	63	69	73	109	188	335	1147
Ardèche	6	2	2	0	3	4	6	9	13	21	47	55	86	121	111	141	206	287	498	Rhône-Alpes	5	0	1	1	0	2	2	1	5	10	28	35	25	58	60	75	143	252	898
Drôme	11	2	1	2	7	16	15	16	27	29	43	85	109	163	139	195	290	390	622	Rhône-Alpes	6	2	1	2	2	6	1	2	9	21	43	46	47	68	90	100	182	353	1069
Isère	26	9	7	5	20	25	15	26	50	77	115	164	228	330	279	410	594	678	1132	Rhône-Alpes	26	4	4	4	4	9	12	14	24	43	61	70	119	142	156	231	411	690	2017
Loire	8	9	2	3	7	22	17	18	27	52	67	140	194	244	253	316	499	621	1008	Rhône-Alpes	5	2	1	1	3	10	9	10	12	30	36	60	83	122	110	186	339	616	1983
Rhône	42	15	7	4	21	32	36	31	57	89	140	218	326	437	470	520	803	1005	1653	Rhône-Alpes	39	14	0	4	5	14	19	21	41	51	71	123	163	206	223	346	600	934	3113
Savoie	3	2	1	1	5	6	9	9	22	22	37	59	103	133	122	160	246	262	447	Rhône-Alpes	8	1	1	1	4	3	6	6	11	12	21	26	55	52	54	76	164	291	911
Haute-Savoie	16	10	0	1	12	21	21	20	28	38	69	106	145	184	190	220	310	403	684	Rhône-Alpes	9	4	3	1	8	7	5	10	12	27	37	51	78	86	93	130	216	362	1233
Allier	4	5	0	3	7	10	6	20	12	30	45	79	119	168	151	204	274	400	683	Auvergne	7	8	1	0	3	0	0	4	7	11	25	42	62	73	64	109	193	363	1109
Cantal	1	1	1	0	0	1	3	3	10	8	18	35	41	67	65	76	137	190	280	Auvergne	1	1	0	0	0	1	1	1	3	5	15	12	24	21	27	64	98	148	526
Haute-Loire	2	1	2	3	1	4	7	7	14	10	27	48	74	94	70	134	176	239	365	Auvergne	3	1	0	0	2	2	1	2	3	9	12	16	22	33	37	65	106	207	662
Puy-de-Dôme	11	6	1	0	9	20	12	20	37	52	77	157	213	253	197	328	385	535	804	Auvergne	14	2	1	1	3	5	7	7	27	27	34	72	89	99	93	151	265	501	1550
Aude	4	3	1	0	5	10	10	10	23	28	46	66	99	139	143	168	241	350	645	Languedoc-Roussillon	6	1	1	1	0	4	8	4	5	12	23	31	51	65	70	80	178	323	964
Gard	14	5	1	4	13	13	25	14	38	64	84	151	215	247	230	309	474	557	972	Languedoc-Roussillon	15	2	0	3	6	5	7	13	16	32	46	57	88	115	109	163	284	498	1667
Hérault	37	6	4	3	18	28	39	37	46	83	110	163	283	325	347	375	612	759	1482	Languedoc-Roussillon	24	5	3	1	8	11	12	19	29	40	63	93	143	160	184	222	403	672	2474
Lozère	0	0	1	0	1	0	0	2	2	7	11	15	21	24	28	48	58	79	159	Languedoc-Roussillon	2	0	1	0	1	0	0	1	5	2	6	6	4	9	21	17	48	65	254
Pyrénées-Orientales	12	2	0	1	4	8	6	9	21	38	69	87	120	186	168	216	327	422	791	Languedoc-Roussillon	13	3	2	0	2	0	5	4	11	28	41	50	69	74	99	95	241	380	1307
Alpes-de-Haute-Provence	1	1	2	2	3	1	6	7	7	4	16	22	40	52	67	87	126	133	257	Provence-Alpes-Côted'Azur	3	1	0	1	3	1	2	3	4	8	9	21	23	26	19	42	89	105	450
Hautes-Alpes	4	0	1	1	1	1	4	8	10	15	14	25	32	37	33	60	67	107	203	Provence-Alpes-Côted'Azur	2	2	1	0	2	3	0	1	8	3	7	11	12	19	26	48	49	110	331
Alpes-Maritimes	25	8	1	2	13	20	16	20	55	92	110	138	235	296	340	490	693	946	1707	Provence-Alpes-Côted'Azur	23	7	3	3	2	3	10	9	24	43	77	100	128	171	192	292	506	935	3315
Bouches-du-Rhône	38	15	8	9	32	42	44	53	81	135	224	309	502	590	540	750	1152	1419	2450	Provence-Alpes-Côted'Azur	34	10	8	8	10	14	16	31	41	80	108	157	244	281	306	455	760	1348	4254
Var	19	3	4	5	15	23	26	34	42	77	104	176	266	376	411	504	726	939	1640	Provence-Alpes-Côted'Azur	9	2	1	0	8	6	8	6	17	41	55	90	134	170	202	282	449	769	2784
Vaucluse	11	3	2	0	9	13	16	20	39	38	56	102	137	161	167	229	324	404	751	Provence-Alpes-Côted'Azur	5	2	3	0	2	8	4	11	11	22	41	39	63	87	101	117	227	376	1243
Corse-du-Sud	1	2	1	3	1	8	7	5	13	15	16	16	40	51	68	68	103	107	210	Corse	1	0	0	1	0	0	4	1	0	4	13	11	16	18	20	44	69	111	336
Haute-Corse	4	0	0	0	4	6	5	7	7	14	16	32	42	62	51	81	102	123	196	Corse	2	1	0	1	1	2	3	3	2	6	8	13	15	15	38	23	92	119	383
